doi,identifier,use,pmid,title,year
10.1186/s12931-019-1165-0,ab65142,wrong
10.1016/j.gene.2023.147920,PA5-99447,wrong
10.1002/jcb.28750,ab65142,wrong
10.3892/ol.2020.11687,ab192591,wrong
10.3892/mmr.2019.9946,ab65142,wrong
10.1371/journal.pone.0309807,ab229912,wrong
10.3892/mmr.2018.8535,ab192591,wrong
10.1186/s41232-021-00154-x,#3192,wrong
10.3892/mmr.2021.12514,ab192591,wrong
10.3892/mmr.2021.12514,ab229912,wrong
10.1016/j.cellsig.2025.111778,#3192,wrong
10.1016/j.biopha.2022.113656,ab192591,wrong
10.1016/j.biopha.2022.113656,ab229912,wrong
10.1186/s10020-025-01189-3,#3179,wrong
10.1186/s10020-025-01189-3,#3192,wrong
10.18632/oncotarget.10087,ab65142,wrong
10.1038/s41375-020-01077-1,#3192,wrong
10.1186/s13287-020-01922-1,MA5-15705,wrong
10.3892/ol.2020.11251,ab65142,wrong
10.18632/oncotarget.10279,sc-377400,wrong
10.1111/bph.15908,ab217322,wrong
10.1038/jid.2013.290,sc-377400,wrong
10.1242/dev.196519,#3192,wrong
10.1177/0972753120950057,sc-377400,wrong
10.3390/cells14181451,20582-1-AP,wrong
10.1007/s12011-023-03841-7,GTX129275,wrong
10.14670/HH-18-276,ab65142,wrong
10.1016/j.urology.2019.01.052,ab65142,wrong
10.1172/jci.insight.187392,ab65142,wrong
10.3390/v16091443,24390-1-AP,wrong
10.3892/br.2022.1513,#3179,wrong
10.1089/thy.2024.0102,#3192,wrong
10.21926/obm.genet.2504313,#5683,wrong
10.1002/adfm.202006454,ab192591,wrong
10.1155/2019/6769789,ab192591,wrong
10.1002/jcp.29351,ab65142,wrong
10.1016/j.canlet.2018.04.038,ab65142,wrong
10.3892/or.2012.1720,ab79483,wrong
10.1002/jcp.29188,ab65142,wrong
10.1002/ijc.32311,ab65142,wrong
10.2147/CMAR.S192529,ab65142,wrong
10.1016/j.cej.2020.128125,ab79483,wrong
10.3892/etm.2016.3857,ab65142,wrong
10.1016/j.ijbiomac.2019.02.003,ab65142,wrong
10.3389/fnmol.2017.00079,#5683,wrong
10.3892/etm.2020.8735,ab192591,wrong
10.3390/ijms17101683,sc-377400,wrong
10.1007/s13577-020-00463-2,ab65142,wrong
10.1038/s41598-018-26996-z,#3192,wrong
10.2147/OTT.S194986,#3192,wrong
10.1016/j.omtn.2020.08.020,ab79483,wrong
10.1002/jcp.26574,ab192591,wrong
10.1016/j.placenta.2016.04.016,ab65142,wrong
10.3892/mmr.2015.4219,sc-377400,wrong
10.1002/jcb.27435,ab65142,wrong
10.3892/ijmm.2021.5059,ab229912,wrong
10.1016/j.ejphar.2018.11.001,ab79483,wrong
10.1002/ptr.7813,ab192591,wrong
10.1080/08941939.2019.1672839,ab192591,wrong
